"","order","family","species_name","haplodiploidy_inclusive","haplodiploidy_strict","eusocial_mw","eusocial_cy","superorganism_bg"
"1","archaeognatha","archaeognatha","dilta_littoralis",0,0,0,0,0
"2","archaeognatha","archaeognatha","pedetontus_silvestrii",0,0,0,0,0
"3","blattodea","archotermopsidae","zootermopsis_angusticollis",0,0,1,1,0
"4","blattodea","archotermopsidae","zootermopsis_nevadensis",0,0,1,1,0
"5","blattodea","blaberidae","blaberus_discoidalis",0,0,0,0,0
"6","blattodea","blaberidae","eublaberus_distanti",0,0,0,0,0
"7","blattodea","blaberidae","phoetalia_pallida",0,0,0,0,0
"8","blattodea","blaberidae","panchlora_nivea",0,0,0,0,0
"9","blattodea","blaberidae","rhabdoblatta_formosana",0,0,0,0,0
"10","blattodea","blaberidae","geoscapheus_dilatatus",0,0,0,0,0
"11","blattodea","blaberidae","geoscapheus_robustus",0,0,0,0,0
"12","blattodea","blaberidae","gyna_capucina",0,0,0,0,0
"13","blattodea","blaberidae","gromphadorhina_portentosa",0,0,0,0,0
"14","blattodea","blaberidae","nauphoeta_cinerea",0,0,0,0,0
"15","blattodea","blaberidae","panesthia_cribrata",0,0,0,0,0
"16","blattodea","blaberidae","pycnoscelus_surinamensis",0,0,0,0,0
"17","blattodea","blaberidae","parasphaeria_boleiriana",0,0,0,0,0
"18","blattodea","blaberidae","phortioeca_nimbata",0,0,0,0,0
"19","blattodea","blaberidae","schultesia_lampyridiformis",0,0,0,0,0
"20","blattodea","blaberidae","thanatophyllum_akinetum",0,0,0,0,0
"21","blattodea","blattidae","blatta_orientalis",0,0,0,0,0
"22","blattodea","blattidae","periplaneta_americana",0,0,0,0,0
"23","blattodea","blattidae","periplaneta_australasiae",0,0,0,0,0
"24","blattodea","blattidae","periplaneta_brunnea",0,0,0,0,0
"25","blattodea","blattidae","periplaneta_fuliginosa",0,0,0,0,0
"26","blattodea","blattidae","periplaneta_japonica",0,0,0,0,0
"27","blattodea","blattidae","xestoblatta_cavicola",0,0,0,0,0
"28","blattodea","blattidae","eurycotis_floridana",0,0,0,0,0
"29","blattodea","corydiidae","ergaula_capucina",0,0,0,0,0
"30","blattodea","corydiidae","therea_petiveriana",0,0,0,0,0
"31","blattodea","cryptocercidae","cryptocercus_kyebangensis",0,0,0,0,0
"32","blattodea","ectobiidae","paratemnopteryx_couloniana",0,0,0,0,0
"33","blattodea","ectobiidae","blattella_germanica",0,0,0,0,0
"34","blattodea","ectobiidae","loboptera_decipiens",0,0,0,0,0
"35","blattodea","ectobiidae","blattella_bisignata",0,0,0,0,0
"36","blattodea","ectobiidae","supella_longipalpa",0,0,0,0,0
"37","blattodea","ectobiidae","pseudoanaplectinia_yumotoi",0,0,0,0,0
"38","blattodea","kalotermitidae","cryptotermes_brevis",0,0,1,1,0
"39","blattodea","kalotermitidae","cryptotermes_secundus",0,0,1,1,0
"40","blattodea","kalotermitidae","kalotermes_flavicollis",0,0,1,1,0
"41","blattodea","kalotermitidae","neotermes_insularis",0,0,1,1,0
"42","blattodea","mastotermitidae","mastotermes_darwiniensis",0,0,1,1,0
"43","blattodea","rhinotermitidae","coptotermes_acinaciformis",0,0,1,1,0
"44","blattodea","rhinotermitidae","coptotermes_curvignathus",0,0,1,1,0
"45","blattodea","rhinotermitidae","coptotermes_formosanus",0,0,1,1,0
"46","blattodea","rhinotermitidae","coptotermes_gestroi",0,0,1,1,0
"47","blattodea","rhinotermitidae","coptotermes_lacteus",0,0,1,1,0
